,classes,0,1,2,3
0.8519591689109802,0.0,696.0608520507812,589.1354370117188,804.68017578125,684.3255004882812
0.8418643474578857,0.0,982.970947265625,378.8310546875,1046.810546875,452.35888671875
0.8397426009178162,1.0,314.6750183105469,231.319091796875,434.41326904296875,372.3429260253906
0.8339282274246216,2.0,407.3305358886719,929.2694091796875,476.60968017578125,1052.055419921875
0.8280434012413025,0.0,128.5192108154297,543.219482421875,193.9915008544922,630.792724609375
0.7772822976112366,2.0,880.659912109375,275.1841125488281,1001.4962768554688,324.6158752441406
0.7450875043869019,2.0,344.74365234375,518.3836669921875,460.752197265625,590.3698120117188
0.7424841523170471,0.0,752.4100341796875,646.9489135742188,896.1023559570312,746.4766235351562
0.6887609958648682,2.0,597.7252807617188,901.7339477539062,689.6594848632812,956.7088012695312
0.6877005100250244,1.0,879.2960815429688,274.7650146484375,998.671630859375,324.404052734375
0.6610568761825562,0.0,87.7740249633789,868.462158203125,212.64674377441406,902.2290649414062
0.6455280780792236,1.0,5.788837432861328,412.7557067871094,141.27638244628906,505.8319396972656
0.5638477802276611,0.0,169.6597900390625,833.220703125,248.16241455078125,1004.92041015625
0.5628385543823242,1.0,807.3171997070312,814.052734375,858.5049438476562,1002.8065185546875
0.5197888612747192,2.0,751.1901245117188,208.91439819335938,811.6887817382812,251.8369598388672
0.5164135694503784,1.0,775.5518798828125,585.5770874023438,816.6935424804688,773.7240600585938
